Topic,Cluster_Name,Count,Top Keywords
-1,Gender-Responsive Climate-Smart Agriculture,372,"food, policies, market, cgiar, data"
0,Seed System Capacity and Equity,59,"seed, quality, licensing, new, supply"
1,Agroecological Business Model Innovation,46,"models, business, smes, medium, enterprises"
2,Sustainable Livestock Resilience Strategies,44,"livestock, initiative, methodologies, output, climate"
3,Sustainable Diets for Marginalized Groups,34,"diets, healthy, nutrient, dense, consumption"
4,Gender-Responsive Breeding for RTB Crops,31,"cassava, sweetpotato, yam, banana, potato"
5,Gender-Sensitive Agricultural Research Integration,30,"gender, ar4d, culture, centres, approaches"
6,Integrated Pest Management for LMICs,29,"threats, affordable, plant, prioritized, ipdm"
7,Scaling Agricultural Innovations in Africa,27,"scaling, hub, southern, east, africa"
8,Eco-Friendly Pest Management Strategies,27,"biopesticides, efficacy, biological, eco, diseases"
9,Eco-Friendly Pest Management Innovations,27,"biopesticides, efficacy, biological, pest, eco"
10,Sustainable Intensification in Mixed Farming,26,"mixed, farming, intensification, sustainable, systems"
11,Urban Vegetable Biodiversity Enhancement,24,"vegetable, vegetables, urban, production, fruit"
12,Adaptive Management Capacity Development,24,"capacity, strengthening, person, phd, rrr"
13,Rural Circular Economy Initiatives,23,"waste, recycling, reuse, circular, wastewater"
14,Innovative Rice Breeding Strategies,23,"on, farm, rice, trials, testing"
15,WEFE Nexus Governance for Fragile Regions,23,"wefe, energy, nexus, water, ecosystems"
16,Agrobiodiversity Conservation and Management,22,"conservation, agrobiodiversity, soil, aws, soils"
17,Resilience and Development in Fragile Contexts,22,"crisis, disaster, reduction, response, crises"
18,Climate Resilience and Biodiversity Innovation,21,"cgiar, science, portfolio, space, thematic"
19,Agroecological Innovation for Resilience,21,"agroecological, transitions, alls, identified, agroecology"
20,Enhanced Adaptation Tracking Systems,21,"wiki, adaptation, datasets, open, methodological"
21,Integrated Zoonotic Disease Management,20,"antimicrobial, resistance, poultry, zoonotic, disease"
22,Evidence-Based Program Design Enhancement,20,"wfp, priority, evidence, evaluation, sharing"
23,Urban Food Safety Enhancement Initiative,20,"safety, food, urban, motivating, capacitating"
24,Climate-Resilient Policy Frameworks Africa,19,"inequality, futures, secure, vulnerability, zambia"
25,Sustainable Agriculture Capacity Building,19,"seminars, trainings, sam, series, training"
26,Aquaculture for Food Security Enhancement,19,"faster, strains, growing, fish, released"
27,HDP Nexus Partnership Innovation,18,"nas, hdp, network, alliance, created"
28,Inclusive Resilience in Agrifood Systems,18,"agrifood, analysed, urban, structural, socially"
29,Empowering Farmers in Pest Management,18,"especially, 10, workshops, professional, r4d"
30,Collaborative Institutional Innovation Strategies,18,"platforms, innovation, nips, collaborative, participatory"
31,Empowering Farmers for Climate Resilience,17,"men, financial, appropriate, rcc, climber"
32,Trait Discovery for Crop Improvement,17,"trait, discovery, deployment, throughput, traits"
33,Advancing Genome Editing in Agriculture,16,"editing, genome, ged, filled, obtained"
34,Germplasm Exchange and Breeding Enhancement,16,"germplasm, requests, satisfactorily, free, accessing"
35,Farmer-Centric Breeding Innovations,16,"nares, networks, extension, agricultural, breeding"
36,Poverty Reduction Through Agricultural Innovation,16,"jobs, poverty, outcome, livelihoods, how"
37,Climate Risk Mapping for Agriculture,16,"hazards, stress, spatial, hazard, crops"
38,Inclusive Climate Resilience Governance,15,"governance, bottom, multiscale, up, polycentric"
39,Sustainable Food System Innovations,15,"labs, living, ll4p, people, transformation"
40,Resilient Climate-Smart Agri-Food Systems,15,"lac, agri, tech, science, members"
41,Efficient Early-Generation Seed Production,14,"generation, propagation, seed, producers, applying"
42,Aquatic Food Systems Innovation,14,"aquatic, web, accounts, basin, op1"
43,Nutrition-Sensitive Food Systems in Deltas,14,"nutrition, sensitive, actions, cases, menu"
44,Breeding Pipeline Efficiency Enhancement,14,"pipelines, breeding, pipeline, optimized, schema"
45,Empowering Voices in Global Change,14,"main, material, supporting, activities, outputs"
46,Genetic Innovations for CWANA Agriculture,14,"genotype, genetic, interactions, recommended, gxexm"
47,Equitable Food Systems Engagement,14,"transformation, key, food, shift, systems"
48,Integrated Water Management Solutions,13,"storage, water, inform, diagnostics, planning"
49,Climate Smart Agriculture Adoption,13,"day, csa, to, smallholder, mechanisation"
50,Delta Agronomy Solutions Integration,13,"agronomy, delta, suitability, formulated, resolution"
51,Breeding Innovation and Data Management,13,"breeding, haplotype, participating, onerice, mobilization"
52,Food Systems and Sustainability Transformation,13,"foresight, flw, land, drivers, regional"
53,Equitable Decision Support in Agriculture,13,"decision, trade, tools, analytical, offs"
54,Empowering Behavior Change in Agriculture,12,"behavior, behavioral, agency, individuals, investigations"
55,Food Loss and Waste Policy Engagement,12,"papers, policy, draft, analyzing, notes"
56,Strengthening Advocacy in Food Systems,12,"practice, cop, cops, functional, external"
57,Strengthening NARES Capacity Development,12,"advancements, extension, agricultural, view, full"
58,Digital Innovations for Agrifood Resilience,12,"advisory, digital, agriculture, management, risk"
59,Global Plant Health Diagnostics Network,12,"combat, lmics, plant, utilize, surveillance"
60,Resilient Land Restoration Strategies,12,"restoration, nature, positive, diversity, de"
