WP Title,Result type (outcome or output),Result Short title,Result Statement,Result Type,Responsible Organization,Partners,Outcome actor type,Outcome actor type of change,Outcome: Is actor a partner?,Qualitative: minimum level of success,Qualitative: moderate level of success,Qualitative: maximum level of success,Location,Country,Region,Indicator,Type,Unit of measurement,Data source,Data collection method,Data collection frequency,Location.1,Country.1,Region.1,Baseline value,Baseline date,Target value,Target date,Source_File,Function Title,Module Title,Topic
Work Package 2 Target Product Profile Design ,OUTCOME,2.1. CGIAR and National partners institutionalize transdisciplinary teams to systematically co-design target product profiles,2.1. CGIAR and National partners institutionalize transdisciplinary teams to systematically co-design target product profiles,Capacity,International Institute of Tropical Agriculture,"International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, International Rice Research Institute, International Food Policy Research Institute, Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical), Africa Rice Center, International Livestock Research Institute, International Potato Center, International Center for Agricultural Research in the Dry Areas",,,Yes,,,,regional,,"Sub-Saharan Africa, Latin America and the Caribbean, South-Eastern Asia, Southern Asia",Proportion of TPPs that were designed by transdisciplinary teams​ (% TPPs designed by transdisciplinary teams), ,Percent,Primary data collected through Initiative,Administrative user data,Semi - Annual,global,,,0,30/06/2022,"50
 70","31/12/2023
 31/12/2024",INIT-05 - Market Intelligence.xlsx,,,-1
Work Package 2 Target Product Profile Design ,OUTCOME,2.2. CGIAR and National partners breeding programs use Target Product Profiles (TPP's) for breeding decisions,2.2. CGIAR and National partners breeding programs use Target Product Profiles (TPP's) for breeding decisions Advancement Meetings,Uptake of information product,International Institute of Tropical Agriculture,"International Center for Agricultural Research in the Dry Areas, International Rice Research Institute, International Potato Center, Africa Rice Center, International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical), International Livestock Research Institute",,,Yes,,,,global,,,Percentage of CGIAR breeding pipelines using target product profiles for the market segments they are breeding for (% of breeding pipelines using TTPs), ,Percent,Institutional adoption study ,Surveys with breeders and other CGIAR and partner decision-makers on actual adoption and willingness to adopt,Annual,global,,,0,30/06/2022,"50
 60","31/12/2023
 31/12/2024",INIT-05 - Market Intelligence.xlsx,,,17
Work Package 3 Behavioral Intelligence ,OUTCOME,3.1. Seed systems actors share behavioral intelligence on how to accelerate varietal turnover with others in their institutions,Seed systems actors share behavioral intelligence on how to accelerate varietal turnover with others in their institutions,Uptake of information product,International Food Policy Research Institute,"International Institute of Tropical Agriculture, International Potato Center, International Rice Research Institute",,,Yes,,,,global,,,Number of organizations sharing behavioral intelligence, ,Number,Primary data collected through Initiative,Surveys with CGIAR and partner decision-makers,,global,,,0,31/12/2023,1,31/12/2024,INIT-05 - Market Intelligence.xlsx,,,24
Work Package 3 Behavioral Intelligence ,OUTCOME,3.2.Private sector and NGOs co-design strategies to address supply-side constraints to promoting new varieties and related products,Private sector and NGOs co-design strategies to address supply-side constraints to promoting new varieties and related products,Uptake of information product,International Food Policy Research Institute,"International Potato Center, International Institute of Tropical Agriculture, International Rice Research Institute",,,Yes,,,,global,,,Number of strategies developed,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Case studies with industry and NGOs,Qualitative and quantitative surveys on whether intelligence from Initiative is used,Annual,global,,,0,30/06/2022,1,31/12/2024,INIT-05 - Market Intelligence.xlsx,,,-1
Work Package 3 Behavioral Intelligence ,OUTCOME,3.3. CGIAR and partners design research projects of high quality leading to rigorous behavioural intelligence,CGIAR and partners design research projects of high quality leading to rigorous behavioural intelligence,Uptake of information product,,,research institution,change in behavior/practice,Yes,,,,global,,,Number of research project proposal developed, ,Number,Case studies with industry and NGOs,Qualitative and quantitative surveys on whether intelligence from Initiative is used,,global,,,0,30/06/2022,1,31/12/2024,INIT-05 - Market Intelligence.xlsx,,,-1
Work Package 4 Pipeline Investment Cases ,OUTCOME,4.1. CGIAR-NARES-SME breeding networks implement breeding pipelines that are aligned to the five Impact Areas,CGIAR-NARES-SME breeding networks implement breeding pipelines that are aligned to the five Impact Areas,Uptake of information product,International Rice Research Institute,"International Potato Center, International Center for Agricultural Research in the Dry Areas, International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, Africa Rice Center, Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical), International Food Policy Research Institute, International Institute of Tropical Agriculture",,,Yes,,,,global,,,Percentage of impact opportunities captured by breeding pipelines as measured by priority index in GloMIP, ,Percent,Institutional adoption study,Surveys with breeders and other CGIAR and partner decision-makers,Annual,global,,,0,01/01/2022,30,31/12/2024,INIT-05 - Market Intelligence.xlsx,,,17
Work Package 4 Pipeline Investment Cases ,OUTCOME,"4.2.CGIAR breeders use GloMIP and the Investor Dashboard to align breeding pipeline investment efforts commensurate to Impact Opportunities, Projected Benefits, and Returns on Investment across the five Impact Areas","CGIAR breeders use GloMIP and the Investor Dashboard to align breeding pipeline investment efforts commensurate to Impact Opportunities, Projected Benefits, and Returns on Investment across the five Impact Areas",Uptake of information product,International Rice Research Institute,"International Center for Agricultural Research in the Dry Areas, International Institute of Tropical Agriculture, International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, Africa Rice Center, Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical), International Food Policy Research Institute, International Potato Center",,,Yes,,,,global,,,Number of organisations whose breeding budget (from CGIAR) was allocated based on the GloMIP Impact Opportunities Portal, ,Number,Primary data,Surveys with research leaders and investors,Annual,global,,,0,01/01/2022,8,31/12/2024,INIT-05 - Market Intelligence.xlsx,,,0
Work Package 5 Institutional Scaling and MELIA ,OUTCOME,5.1 CGIAR-NARES-SME breeding networks’ knowledge enhanced on the contribution of institutional change in genetic innovation to the five impact areas,CGIAR-NARES-SME breeding networks’ knowledge enhanced on the contribution of institutional change in genetic innovation to the five impact areas,Capacity,,,,,Yes,,,,global,,,Number of network members engaged in knowledge generation on the contribution of institutional change to the five Impact Areas, ,Number,,,,global,,,0,30/06/2022,20,31/12/2024,INIT-05 - Market Intelligence.xlsx,,,1
Work Package 1 On-farm technologies in social context: Improving local capacities and inclusive scaling mechanisms  ,OUTCOME,1.1 Access to data-supporting adaptation tracking and MRV is improved.,"Governments and other stakeholders have access to data generated by Livestock and Climate WP1 to improve national measurement, reporting, verification (MRV) and climate adaptation protocols, tracking and reporting. ",Other,International Livestock Research Institute,Alliance of Bioversity and CIAT - Headquarter (Bioversity International),,,Yes,,,,global,,,"Accesible data sets to improve national measurement, reporting, verification (MRV) and climate adaptation protocols, tracking and reporting","Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",# data sets,Primary,Direct tracking,Annual ,regional,,,0,02/01/2022,6,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,11
Work Package 1 On-farm technologies in social context: Improving local capacities and inclusive scaling mechanisms  ,OUTCOME,1.2 Farmers capacity to implement climate-smart technologies is built,"Research, extension and farmers have access to methodologies, tools and technologies supporting socially inclusive development and scaling of climate-smart livestock practices. Where appropriate training will be provided. ",Other,International Livestock Research Institute,Alliance of Bioversity and CIAT - Headquarter (Bioversity International),,,Yes,,,,global,,,"Accessible methodologies, tools and technologies for supporting socially-inclusive development and sacling of climate-smart practices","Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",# OF Publication,Primary ,Direct ,Annual,regional,,,0,02/01/2022,4,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,-1
